comment_id,create_time,ip_location,note_id,content,user_id,nickname,avatar,sub_comment_count,last_modify_ts,liked_count,senta,senta_prob
652ff0a0000000002002461e,1697640608000,云南,652fc233000000001e02bf15,博主真的是我见过，三观最正的[doge]。不是一味的讨厌狗，也不是一味的偏爱狗，说狗咬人，狗完全没问题，是主人的问题。而是从根源上，告戒大家，烈性犬的危险性和攻击性，没有专业训练能力，千万不要养，也不要在城市里养。普通人养性格温顺的犬就好。普通人养烈犬，就是害人，害己。[叹气R]。因为你根本控制不住，在家里，对你温柔，但你拉出去街上，你是完全没办法保证，它不会突然发狂咬人[叹气R],5bb4381681d73500013bc439,佛系摄影师～夏天,https://sns-avatar-qc.xhscdn.com/avatar/619df54fa0adc3063b94c3e5.jpg?imageView2/2/w/120/format/jpg,52,1702997281528,1985,正向,0.9976666970334448
65300a0e0000000021016e2b,1697647118000,山东,652fc233000000001e02bf15,烈性犬住城市真的很憋屈，运动量没办法保证，而且人太多了，好拥挤,5ee5daa1000000000100027e,北极甜虾🦐,https://sns-avatar-qc.xhscdn.com/avatar/63480a9ec592428f1e9ad3f0.jpg?imageView2/2/w/120/format/jpg,41,1702997281531,820,负向,-0.935652716486878
65306c39000000002303bd3b,1697672249000,湖南,652fc233000000001e02bf15,博主真的是难得我见过这么多养狗人士当中观点最公正的，真的说了很多次对你温顺，不一定对其他人温顺，总有那么些狗主人以为他家狗儿子是独一无二的，还说不可能伤害人巴拉巴拉之类的，说他那个不属于烈性犬，我真的要笑死，感情机构的专业人士都比不过他们，我自己也养狗，因为养了很多年，所以我知道动物就是动物，动物的情感和人类的情感是不一样的，你所看到的那一面只是你心中美化出来的，对其他人不一定。,62443afd0000000010009ae7,进化中的哇咔咔,https://sns-avatar-qc.xhscdn.com/avatar/64ca0648b53a228e212d659a.jpg?imageView2/2/w/120/format/jpg,14,1702997281535,214,正向,0.9999151243340768
65300cbe000000002100700f,1697647807000,上海,652fc233000000001e02bf15,我最讨厌人家问我，你家狗咬不咬人啊？我直接回咬！不管是什么犬种，主人怎么抚摸都可以，它熟悉气味和方式，换个陌生人来摸，它又不会讲话，我怎么知道会不会咬你啊[doge][doge][doge]无语死了，养小型犬真的神烦伸手就摸的人！！！,5cb99ea900000000160156f2,吃饭睡觉打游戏,https://sns-avatar-qc.xhscdn.com/avatar/64c60a48aa23d53bfe816a32.jpg?imageView2/2/w/120/format/jpg,48,1702997281533,149,负向,-0.9997199371501466
652fd76b000000001c03fed1,1697634155000,重庆,652fc233000000001e02bf15,希望你被更多人看到，斗犬，獒犬，护卫犬，大猎犬本来就不适合作为宠物，喜欢大狗请考虑拉拉，金毛，雪橇三傻这些温顺的狗子吧。还有那些为了卖狗劝普通人养烈性犬美名其曰保护的，都是赚黑心钱的奸商，有报应的,5ad462464eacab428543c6ae,六妮儿,https://sns-avatar-qc.xhscdn.com/avatar/5ad462ab14de416f540ad73b.jpg?imageView2/2/w/120/format/jpg,13,1702997281537,111,负向,-0.9998672648325736
65350199000000002502138c,1697972633000,四川,6534ba01000000002201c194,没有什么不健康。 和人相处久了 确实会觉得爱人不如爱狗。,5970e5ce82ec3934d068ad74,晓梦如昨,https://sns-avatar-qc.xhscdn.com/avatar/6357d6c6d061b6a50c02109d.jpg?imageView2/2/w/120/format/jpg,6,1702997233096,98,负向,-0.9997751839132576
653555be000000002003aaf6,1697994174000,爱尔兰,6534add20000000020002a38,根儿上的溃烂，治不了的。,5e48ffe5000000000100a960,hong,https://sns-avatar-qc.xhscdn.com/avatar/5e48ffe5000000000100a960.jpg?imageView2/2/w/120/format/jpg,8,1702997252694,96,负向,-0.9998518878966678
6530685f000000001a012224,1697671263000,上海,652fc233000000001e02bf15,很对，没有能力养这种犬就是对它们不负责，狗狗没有对错，只是为主人的不负责和不道德背锅。,556a712fe4b1cf7efc670411,bobovan,https://sns-avatar-qc.xhscdn.com/avatar/63ed9dc4e9f88e4ccdf90dbb.jpg?imageView2/2/w/120/format/jpg,5,1702997283734,80,负向,-0.992611703863986
65355f610000000020016b3a,1697996641000,天津,6534add20000000020002a38,支持,5c1521be00000000060353d5,熊宝一一,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30sn9kj96k46g5n0l46v1mkul5ug37kg?imageView2/2/w/120/format/jpg,0,1702997252696,66,正向,0.9999323497407032
653098020000000020038416,1697683458000,北京,652fc233000000001e02bf15,我是女性，我把狗训的，来，去，站，坐，卧，躺，叼，吐，定，退，走，跑，靠，吃，喝，关门等令行禁止，甚至定点拉臭，尿尿都听得懂，出门必牵绳，撒欢会带去山里，牵绳行走只能和我平行或跟在身后，她们都说我母老虎，因为小时侯真训，犯错真揍，母老虎就母老虎吧，我养的是狗，是陪伴犬，不是姑娘儿子，我是学了好几个月怎么训练才买的，当然我就养了个金毛,5c54815c0000000010018093,晴天,https://sns-avatar-qc.xhscdn.com/avatar/7121a416be8e543266fd62c1cc9d575e.jpg?imageView2/2/w/120/format/jpg,3,1702997283134,63,正向,0.0
