comment_id,create_time,ip_location,note_id,content,user_id,nickname,avatar,sub_comment_count,last_modify_ts,liked_count
655da6450000000032038380,1700636229000,四川,6551ca5000000000320041ae,关于这个问题不得不点名表扬一下遂宁！遂宁的做法堪称教科书！,6003c4a30000000001006bd7,Katherine Zhou,https://sns-avatar-qc.xhscdn.com/avatar/cd255d0e201935e0d852bd371f18c198.jpg?imageView2/2/w/120/format/jpg,2,1703311318641,0
6551ca71000000001d000b59,1699859057000,湖北,6551ca5000000000320041ae,每日更新，各位局长带你们一起上岸[飞吻R][飞吻R],63c124930000000026010630,公考情报站🔍,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30q645qbr7g005ou14i9pi1hgvaklqqo?imageView2/2/w/120/format/jpg,0,1703311318644,0
65322f7a000000002003e95a,1697787770000,江西,65321d0d0000000023038a2c,打卡！,61f108890000000010009797,路人甲,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30rs0c2qh2k005ofh124k15sntm52rko?imageView2/2/w/120/format/jpg,0,1703311318677,0
6565e7cb000000001601e216,1701177291000,四川,6543b69d000000001d014217,四川文理学院避一避,5f471236000000000100765b,阿诚,https://sns-avatar-qc.xhscdn.com/avatar/644faa743efe33e0b0da4b0d.jpg?imageView2/2/w/120/format/jpg,0,1703311318751,0
655abebc0000000020017504,1700445884000,重庆,6543b69d000000001d014217,重庆工程学院避一避[微笑R],5e809de500000000010096ff,Gingin,https://sns-avatar-qc.xhscdn.com/avatar/62d64fc98c2af3ce8d90d30d.jpg?imageView2/2/w/120/format/jpg,0,1703311318754,0
65350fa90000000025017277,1697976234000,河南,652fe2cb000000001e02df25,神似某位明星[笑哭R],64df83a000000000010137ad,Stars,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30ol2v4bdi46g5p6vgeg0adtduj8hccg?imageView2/2/w/120/format/jpg,0,1703311318829,2
6573d5e00000000014015792,1702090208000,广东,652fe2cb000000001e02df25,还有那个什么松,6117298c00000000200292fd,小困神.,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30so4us6j46605o8n566854ntvudn6s0?imageView2/2/w/120/format/jpg,0,1703311318833,0
65375805000000001c03c9fc,1698125829000,,652fe2cb000000001e02df25,十条狗，有七条我见过，有四条我摸过。[笑哭R],62a82181000000001b026278,Husky伊,https://sns-avatar-qc.xhscdn.com/avatar/62a82203a039dfda9b65d38c.jpg?imageView2/2/w/120/format/jpg,0,1703311318837,0
653473730000000025014f6b,1697936243000,重庆,652fe2cb000000001e02df25,[氛围感R][氛围感R][氛围感R][氛围感R][氛围感R][氛围感R][赞R][集美R][红色心形R][黄色心形R][绿色心形R][蓝色心形R][紫色心形R],5c6c06c80000000012011fa1,胡小娇,https://sns-avatar-qc.xhscdn.com/avatar/5c6c06c80000000012011fa1.jpg?imageView2/2/w/120/format/jpg,0,1703311318839,0
6534b6e2000000002202f2af,1697953506000,浙江,653399b4000000001e02067b,希望不养狗的人也要好好管好你们所谓的家人和小孩。如果你们已经你们小孩小孩狗狗，可以自己养一只的，别人家的狗狗千万不要去搞。毕竟人家的狗狗没有吃你们家一口水和一粒粮食，凭什么给你家小孩玩[生气R],6194c2eb000000001000b705,梦哥水产,https://sns-avatar-qc.xhscdn.com/avatar/6194c2eb000000001000b705.jpg?imageView2/2/w/120/format/jpg,1,1703311318960,0
6534b610000000002201d832,1697953296000,浙江,653399b4000000001e02067b,咬了人她们要说狗什么什么的，有的人看到别人的狗就鼓励小孩子去摸狗，去打别人家的狗狗。这样引起狗咬人。难道你这样先去摸或者欺负狗狗就是对的吗？[生气R]别人家养的狗本来你不好乱摸乱打的，否则狗让你欺负了肯定也不会甘心的呀？难道你就不能好好管好你以及你的孩子？如果反过来要是狗狗给人搞死或者压死你们会赔钱和坐牢吗？[生气R]大家好好想想吧，只有大家把自己家里的狗和人都管好，那就什么事情都没有了！[生气R]不要把所以的不好的事情都加在养狗狗的人和狗狗身上，这是不公平的！也会遭报应的！[生气R][生气R][生气R][生气R][生气R],6194c2eb000000001000b705,梦哥水产,https://sns-avatar-qc.xhscdn.com/avatar/6194c2eb000000001000b705.jpg?imageView2/2/w/120/format/jpg,0,1703311318963,0
653112c100000000200160c9,1697714881000,广东,652e8d1f000000002202a0a3,有种别栓 要栓栓不了3天估计又都是那个球样子,64bf8938000000001403e72f,小红薯64BFC12C,https://sns-avatar-qc.xhscdn.com/avatar/645b7f83b46568f580649586.jpg?imageView2/2/w/120/format/jpg,5,1703311319912,2
652f63ee000000001900a4a4,1697604590000,四川,652f5649000000001f03c515,只能立法，但是国家迟迟不立法。路长且艰,61b6fa410000000021029ef2,成都哪吒汽车-匡龙,https://sns-avatar-qc.xhscdn.com/avatar/62c3e10f75d4369ac34568e3.jpg?imageView2/2/w/120/format/jpg,3,1703311320375,17
652ff7e70000000025021d70,1697642471000,上海,652f5649000000001f03c515,点了，作为崇尚科学养宠人士，我也希望养小动物最好也能像考驾照一样就好了，这样能减少遗弃，繁育院舍最好需要去办相关经营执照（类似于食品卫生许可证那种），遗弃虐待入法，一切正规起来之后，养育成本变高，被遗弃的流浪动物自然就少了，小动物也是一条生命，对它负责也是对人负责。,5eb69a94000000000100148a,Neo,https://sns-avatar-qc.xhscdn.com/avatar/628174e44c12e6fea6d4db78.jpg?imageView2/2/w/120/format/jpg,1,1703311320379,10
